ID,Gender,Year Group,How would you describe your personality?,What time do you typically go to bed on weeknights?,Where do you prefer to do homework/study?,What do you enjoy doing for fun?,Do you enjoy having friends over in your room?,How would your friends describe you in one word?,cluster
40,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,9
41,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Responsible,6
42,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
43,Female,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill,1
44,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
45,Female,Class of 2026,I am extroverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Responsible,1
46,Female,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Friendly,7
47,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,10
48,Female,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
49,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
53,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,0
54,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,0
55,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,1
58,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Friendly,9
59,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
60,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,10
61,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,2
63,Female,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,9
64,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Going for events on/off-campus,"Yup, but not always",Chill,12
65,Female,Class of 2025,I am introverted,After Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Friendly,2
66,Female,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,10
68,Female,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Responsible,15
70,Female,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Responsible,1
71,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Fun,12
72,Female,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
73,Female,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Fun,11
76,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Responsible,13
79,Female,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Fun,0
81,Female,Class of 2025,I am extroverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,2
82,Female,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
88,Female,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
89,Female,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,13
91,Female,Class of 2025,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
92,Female,Class of 2027,I am extroverted,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,4
93,Female,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,11
