ID,Gender,Year Group,How would you describe your personality?,What time do you typically go to bed on weeknights?,Where do you prefer to do homework/study?,What do you enjoy doing for fun?,Do you enjoy having friends over in your room?,How would your friends describe you in one word?,cluster
350,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,12
352,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Friendly,3
364,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Chill,0
369,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized,0
371,Male,Class of 2025,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Friendly,6
374,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,3
378,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Chill,5
380,Male,Class of 2027,I am introverted,10PM or earlier,In the room,Relaxing/Sleeping,"Yup, all the time",Fun,4
381,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,9
383,Male,Class of 2027,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun,10
384,Male,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
385,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Organized,15
387,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,9
388,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Organized,12
389,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,0
392,Male,Class of 2027,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
396,Male,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Responsible,7
397,Male,Class of 2027,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Fun,11
400,Male,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Responsible,7
